SOC2018,OCC1990
11-1011,4
11-3031,7
11-1011,3
11-3121,8
11-9032,14
11-9141,18
11-2021,13
11-9111,15
39-4031,19
11-2021,197
11-9121,21
11-9121,17
13-2041,25
13-2011,23
13-2053,24
11-9121,5
13-1021,28
11-9121,22
13-1111,26
11-9121,16
13-1074,27
13-1022,29
13-1041,36
13-1023,9
47-4011,35
11-9179,37
13-1011,34
13-1023,33
17-2041,48
17-2131,45
17-2171,46
17-2171,47
17-1011,43
17-2011,44
17-2072,55
17-2112,56
17-2141,57
17-2199,49
17-2199,58
17-2199,54
17-2199,59
17-2051,53
19-2011,69
15-2099,68
15-1254,64
15-2099,67
13-1082,65
15-2011,66
19-2099,76
19-1021,78
19-1013,77
19-1032,79
19-2041,75
19-2021,74
19-2031,73
29-1011,89
29-1241,84
29-1041,87
29-1081,88
19-1041,83
29-1131,86
29-1021,85
29-1051,96
29-1141,95
29-1126,98
29-1031,97
29-1122,99
29-1181,104
29-1071,106
29-1124,105
29-1123,103
25-1032,127
25-1032,116
25-1032,149
25-1032,134
25-1032,114
25-1032,123
25-2022,156
25-1032,153
25-1032,145
25-2011,155
25-1032,144
25-1032,117
25-1032,124
25-1032,133
25-1032,125
25-1032,148
25-1032,128
25-2057,158
25-1032,118
25-1032,139
25-2032,157
25-1032,126
25-3031,159
25-1032,137
25-1032,154
25-1032,136
25-1032,147
25-1032,115
25-1032,143
25-1032,119
25-1032,138
25-1032,146
25-1032,129
25-1032,135
25-1032,113
25-4022,164
21-1012,163
19-3091,169
19-3091,168
19-3033,167
25-4012,165
13-1161,166
23-1011,179
19-3051,173
21-2011,176
21-1092,465
21-1023,174
23-1011,178
21-2011,177
27-3043,183
27-1023,185
27-2091,186
27-2011,187
27-1012,188
27-3042,184
27-4021,189
27-2022,199
27-2031,193
27-4031,195
27-3011,198
27-3099,194
29-2061,207
29-2011,203
29-2072,205
29-2036,206
29-2092,208
29-1292,204
17-1021,218
17-3022,214
17-3022,215
17-3011,217
17-1021,63
17-1021,867
17-3022,216
17-3022,213
19-4031,224
53-2022,227
27-4015,228
19-4021,223
53-2011,226
19-4042,225
15-1251,229
23-2011,234
51-9161,233
19-4071,235
41-1012,243
41-3031,255
41-3021,253
41-9031,258
41-9021,254
41-3011,256
41-3091,263
41-9099,285
41-3091,264
41-9091,277
41-9099,259
41-9099,284
41-3091,265
41-3091,275
41-3091,266
41-3091,267
41-2012,276
41-3091,274
41-9091,278
41-9099,257
41-3091,268
41-3091,269
41-9012,283
,304
,309
43-1011,303
,308
43-1011,305
43-4081,317
43-6012,314
43-4171,319
41-3041,318
43-6012,313
43-4171,323
43-4041,316
43-9022,315
43-4161,328
43-4121,329
43-4151,326
43-4151,327
43-4071,335
43-4199,336
43-3051,338
43-3031,337
43-4199,325
43-2011,306
43-5053,346
