occ1990,skill1,skill2,skill3,skill4,skill5,skill6,skill7,skill8,skill9,skill10,skill11,skill12,skill13,skill14,skill15,skill16,skill17,skill18,skill19,skill20,skill21,skill22,skill23,skill24,skill25,skill26,skill27,skill28,skill29,skill30,skill31,skill32,skill33,skill34,skill35,knowledge1,knowledge2,knowledge3,knowledge4,knowledge5,knowledge6,knowledge7,knowledge8,knowledge9,knowledge10,knowledge11,knowledge12,knowledge13,knowledge14,knowledge15,knowledge16,knowledge17,knowledge18,knowledge19,knowledge20,knowledge21,knowledge22,knowledge23,knowledge24,knowledge25,knowledge26,knowledge27,knowledge28,knowledge29,knowledge30,knowledge31,knowledge32,knowledge33,work_activity1,work_activity2,work_activity3,work_activity4,work_activity5,work_activity6,work_activity7,work_activity8,work_activity9,work_activity10,work_activity11,work_activity12,work_activity13,work_activity14,work_activity15,work_activity16,work_activity17,work_activity18,work_activity19,work_activity20,work_activity21,work_activity22,work_activity23,work_activity24,work_activity25,work_activity26,work_activity27,work_activity28,work_activity29,work_activity30,work_activity31,work_activity32,work_activity33,work_activity34,work_activity35,work_activity36,work_activity37,work_activity38,work_activity39,work_activity40,work_activity41,Green,Brown,dwocc1990,Green_Brown
4,.55357146,.58000004,.59857142,.57142854,.60714287,.14285715,.16,.14285715,.45499998,.59857142,.46428573,.5,.43785715,.52642858,.43785715,.56214285,.51714289,.26785713,.42857143,.27714288,.57142854,.25,.25928572,.58000004,.14285715,.28571427,.45499998,.58071429,.59857142,.57142854,.57142854,.25928572,.52714288,.14285715,.58000004,.63571429,.37714285,.29642856,.39928573,.27142859,.44714287,.36857143,.53571427,.34999999,.49214286,.47500002,.33642858,.59785712,.21857142,.22928572,.24357143,.33285713,.27071428,.54357147,.45714286,.29357141,.19,.50714284,.27214286,.25214285,.34428573,.43071431,.41857141,.45571429,.40071428,.26071429,.27214286,.38,.61285716,.35142857,.56071424,.64928567,.68142855,.21142858,.57142854,.64285713,.6242857,.44857144,.25857145,.65499997,.50928569,.56357145,.67857146,.59642857,.19857143,.57500005,.32071429,.60785711,.58571428,.66928571,.51142859,.59357142,.21714285,.61071432,.45999998,.22857141,.46428573,.57071429,.54142857,.19642857,.18714285,.55000001,.4992857,.55642855,.49714285,.58499998,.47357142,.59714282,.59642857,0,0,4,Neutral
7,.52952379,.5657143,.55333334,.48809522,.57714289,.14285715,.14285715,.14285715,.42857143,.5657143,.44666666,.46428573,.33333334,.4642857,.4942857,.54190475,.44,.16047619,.33904764,.25619048,.46380952,.22619048,.22666667,.57714289,.14857143,.17285715,.44047618,.47,.5657143,.4642857,.47,.23809524,.48809522,.14285715,.52952379,.53142858,.34,.15238096,.16238095,.14857143,.33714285,.41285715,.48142859,.17619048,.63,.36428571,.19952381,.56523812,.16095237,.14809524,.18190476,.21761905,.20571429,.43190476,.5657143,.1652381,.16619048,.39714286,.17952381,.15761904,.2447619,.33428571,.24619049,.38666666,.25857145,.25047618,.18285714,.20666666,.62857145,.31857142,.52476192,.5795238,.62142855,.2,.47190475,.53095239,.51904762,.47095239,.1547619,.57523811,.44333333,.53476191,.63999999,.50857145,.18761905,.54523808,.25095239,.50476193,.51476192,.62142855,.47809523,.39476192,.16142857,.57476187,.37,.18666667,.34714285,.56666666,.48285714,.1595238,.14428572,.46761903,.44142857,.4747619,.39142859,.51476187,.48238096,.56285715,.63238096,0,0,7,Neutral
8,.54190475,.57714289,.51809525,.52999997,.54809523,.14285715,.14285715,.14285715,.5057143,.56,.50619048,.45809522,.35142857,.54095238,.40476191,.52380949,.48190477,.15476191,.38095239,.25,.5057143,.23809524,.26761904,.5714286,.14285715,.22,.48809522,.53619045,.57714289,.48809522,.4942857,.24380952,.52333331,.15476191,.54809523,.60380954,.40142855,.16666667,.16714285,.16333333,.41333333,.42238095,.54285717,.24428572,.38571429,.53523809,.19714285,.57904762,.1652381,.17142858,.21523809,.19952381,.19619048,.4747619,.43333334,.17285715,.21142857,.62,.25238094,.15714286,.28523809,.43904763,.32952383,.3247619,.36857143,.24190477,.2995238,.19809525,.57904762,.42809525,.59523809,.51190478,.6704762,.22,.55047619,.56999999,.58999997,.51333332,.19142857,.65952379,.39857143,.60000002,.64476192,.59333336,.24761905,.52619052,.25714287,.58190477,.54190475,.62238097,.44809523,.50761902,.20142858,.5795238,.46238095,.22809523,.34380952,.53952384,.59476191,.16952382,.16142857,.58904761,.5,.46285716,.49428573,.52380955,.57476187,.61333334,.58999997,0,0,8,Neutral
3,.55357146,.58000004,.59857142,.57142854,.60714287,.14285715,.16,.14285715,.45499998,.59857142,.46428573,.5,.43785715,.52642858,.43785715,.56214285,.51714289,.26785713,.42857143,.27714288,.57142854,.25,.25928572,.58000004,.14285715,.28571427,.45499998,.58071429,.59857142,.57142854,.57142854,.25928572,.52714288,.14285715,.58000004,.63571429,.37714285,.29642856,.39928573,.27142859,.44714287,.36857143,.53571427,.34999999,.49214286,.47500002,.33642858,.59785712,.21857142,.22928572,.24357143,.33285713,.27071428,.54357147,.45714286,.29357141,.19,.50714284,.27214286,.25214285,.34428573,.43071431,.41857141,.45571429,.40071428,.26071429,.27214286,.38,.61285716,.35142857,.56071424,.64928567,.68142855,.21142858,.57142854,.64285713,.6242857,.44857144,.25857145,.65499997,.50928569,.56357145,.67857146,.59642857,.19857143,.57500005,.32071429,.60785711,.58571428,.66928571,.51142859,.59357142,.21714285,.61071432,.45999998,.22857141,.46428573,.57071429,.54142857,.19642857,.18714285,.55000001,.4992857,.55642855,.49714285,.58499998,.47357142,.59714282,.59642857,0,0,3,Neutral
15,.55428571,.5714286,.53571427,.5714286,.58857143,.14285715,.14285715,.14285715,.51714283,.5714286,.44571429,.4642857,.44571429,.53571427,.39285713,.51714283,.5,.14285715,.5,.26857144,.51714283,.25,.25,.5714286,.14285715,.39285713,.53571427,.55428571,.60714287,.5,.53571427,.2857143,.5714286,.17857143,.5714286,.60428572,.53285712,.35142857,.18714286,.22,.35142857,.52714288,.56,.24142857,.44,.46285716,.22571428,.60000002,.15428571,.16,.20857143,.16428572,.17571428,.5,.44,.20857143,.44571429,.53285712,.21428572,.17,.40142858,.36857143,.4342857,.25857142,.2857143,.29142857,.2742857,.17,.59428573,.41714287,.59857142,.4942857,.65428573,.28,.57714283,.56,.59285712,.65428573,.18714286,.6257143,.46285716,.64285713,.62142855,.61571431,.26857144,.5714286,.33000001,.58857143,.58857143,.62857145,.54428571,.53857142,.18142857,.6257143,.53285712,.2742857,.41142857,.6314286,.56,.17571428,.16428572,.53285712,.5714286,.32428572,.55428571,.50285715,.55428571,.61714286,.64285713,0,0,15,Neutral
197,.50912696,.57428575,.51468253,.52698416,.55904764,.14285715,.14761905,.14285715,.44841269,.52976191,.43420637,.39007938,.37269843,.47222221,.3976984,.50087297,.50190479,.17261904,.40960318,.24484128,.53261906,.24119048,.23809524,.54912698,.14285715,.23087302,.47896826,.56190479,.56952381,.47071427,.48063493,.25595239,.51190478,.14285715,.51666665,.56301588,.43722221,.17769842,.20150794,.18230158,.56730157,.4747619,.57801586,.36190477,.41960317,.43436506,.30785713,.64230156,.26380953,.15365079,.24007937,.30761904,.22896826,.34841269,.44492063,.21579365,.18142857,.39182538,.25,.18912698,.34777778,.37293652,.32595238,.64801586,.31999999,.37158731,.23619047,.27380952,.51476192,.3523016,.48841268,.62,.6388095,.21111111,.52944446,.56261903,.53746033,.45960319,.1984127,.62293649,.44849205,.38380951,.61539686,.51825398,.2313492,.53523809,.25706351,.49246031,.47388887,.58730161,.42555556,.44206348,.26412699,.6111111,.42023811,.26222223,.47880954,.50484127,.46936509,.19293651,.17785713,.51047617,.50611115,.59158731,.36976188,.60976189,.47626984,.5561111,.63507938,.44444445,0,197,Green
19,.44571429,.5714286,.44571429,.55428571,.4642857,.14285715,.17857143,.14285715,.42857143,.44571429,.41142857,.39285713,.39285713,.42857143,.41142857,.44571429,.4642857,.37428573,.39285713,.42857143,.42857143,.19714285,.39285713,.4642857,.14285715,.26857144,.55428571,.58857143,.55428571,.42857143,.39285713,.23142858,.48285714,.2857143,.4642857,.57571429,.5657143,.39285713,.19285715,.43571427,.38571429,.44714287,.70714283,.22428571,.49285713,.41142857,.19571428,.5057143,.17857143,.14428571,.22714286,.25857142,.25857142,.47285715,.40142858,.24428572,.34714285,.49571428,.47714287,.19571428,.38999999,.53142858,.41999999,.52285713,.39142856,.35571429,.44999999,.44714287,.42714286,.67571431,.47857141,.61000001,.56714284,.35714287,.57571429,.47,.49571428,.58571428,.24571429,.64428574,.42142856,.5657143,.67000002,.52999997,.47428572,.60714287,.44,.52285713,.51999998,.58428574,.49142858,.48285714,.56857145,.65428573,.54571426,.43285716,.68285716,.56714284,.57999998,.26857144,.30285713,.55000001,.5657143,.48285714,.38142857,.50714284,.54571426,.54285717,.62285715,0,0,19,Neutral
13,.50912696,.57428575,.51468253,.52698416,.55904764,.14285715,.14761905,.14285715,.44841269,.52976191,.43420637,.39007938,.37269843,.47222221,.3976984,.50087297,.50190479,.17261904,.40960318,.24484128,.53261906,.24119048,.23809524,.54912698,.14285715,.23087302,.47896826,.56190479,.56952381,.47071427,.48063493,.25595239,.51190478,.14285715,.51666665,.56301588,.43722221,.17769842,.20150794,.18230158,.56730157,.4747619,.57801586,.36190477,.41960317,.43436506,.30785713,.64230156,.26380953,.15365079,.24007937,.30761904,.22896826,.34841269,.44492063,.21579365,.18142857,.39182538,.25,.18912698,.34777778,.37293652,.32595238,.64801586,.31999999,.37158731,.23619047,.27380952,.51476192,.3523016,.48841268,.62,.6388095,.21111111,.52944446,.56261903,.53746033,.45960319,.1984127,.62293649,.44849205,.38380951,.61539686,.51825398,.2313492,.53523809,.25706351,.49246031,.47388887,.58730161,.42555556,.44206348,.26412699,.6111111,.42023811,.26222223,.47880954,.50484127,.46936509,.19293651,.17785713,.51047617,.50611115,.59158731,.36976188,.60976189,.47626984,.5561111,.63507938,.44444445,0,13,Green
14,.52759922,.58150464,.54894513,.55053902,.57914019,.14899141,.15544313,.14313492,.54165345,.55572093,.53271496,.44583333,.42544973,.54114085,.41996032,.56283402,.50979161,.19042659,.28733796,.27692792,.4913128,.22380291,.30795634,.57913691,.1482176,.23819774,.52894509,.55643189,.58373016,.4607209,.47895503,.23976521,.54692131,.22361773,.55433863,.60455024,.45755291,.25144181,.26310515,.22799604,.41107473,.44393519,.60056216,.29550925,.41410053,.57734126,.29741403,.59789354,.26107144,.24590939,.26394179,.29927248,.27059525,.43181548,.46975198,.2487004,.27320766,.52118719,.3381812,.22445768,.3172057,.46672618,.45521495,.41653109,.36605158,.29482144,.36415675,.30789021,.53260249,.51461971,.57304561,.56195104,.62983799,.24422619,.57354832,.55196428,.57365739,.53501981,.21386905,.62823081,.45446759,.59952378,.62066799,.58058864,.29378968,.55704695,.4067758,.52224535,.56224537,.62897813,.53013229,.50925595,.24331018,.59501982,.56282735,.3464914,.50871032,.52961642,.51098543,.21347222,.19710979,.57628304,.55424935,.44925925,.51421624,.55256945,.56070107,.55577379,.56242061,.055555556,0,14,Green
18,.42857143,.53571427,.44571429,.51714283,.5,.14285715,.16,.14285715,.39285713,.44571429,.39285713,.42857143,.41142857,.44571429,.42857143,.44571429,.5,.21428572,.30285713,.25,.4642857,.21428572,.2857143,.55428571,.14285715,.19714285,.42857143,.4642857,.5714286,.30285713,.30285713,.17857143,.42857143,.23142858,.51714283,.62857145,.43571427,.2,.43571427,.25,.40714285,.5,.66142857,.23571429,.57857144,.44285715,.32857144,.57857144,.16428572,.15000001,.23571429,.27857143,.17857143,.55000001,.51428574,.36857143,.17857143,.50714284,.22142857,.22857143,.26285714,.41428572,.52857143,.45714286,.24857143,.40571427,.2,.25,.5,.38571429,.50428569,.58571428,.62142855,.22142857,.59285712,.48142856,.5714286,.48142856,.2,.59285712,.37142858,.51428574,.62857145,.5642857,.2,.42857143,.44285715,.45142856,.4642857,.63857144,.43571427,.51428574,.30000001,.57857144,.51857144,.29285714,.47857141,.52142859,.47857141,.27142859,.23571429,.58714288,.52142859,.44285715,.49285713,.47857141,.54285717,.5714286,.60000002,0,0,18,Neutral
